contig
                               Best          Mean         Stall
Generation      f-count     Penalty         Penalty    Generations
    1           180           13.35           57.27        0
    2           270            13.1           45.91        0
    3           360           12.25            28.3        0
    4           450           12.25           30.93        1
    5           540           11.73           24.54        0
    6           630           11.73           20.67        1
    7           720           10.74           26.32        0
    8           810           10.74           25.21        1
    9           900           10.52              19        0
   10           990           10.09           17.75        0
   11          1080           8.953           20.33        0
   12          1170           8.953           21.12        1
   13          1260           8.953           20.22        2
   14          1350           8.953           22.56        3
   15          1440           8.953           23.79        4
