MEAN, ALL 4
                               Best          Mean         Stall
Generation      f-count     Penalty         Penalty    Generations
    1           200           11.71            25.5        0
    2           300           11.65           23.15        0
    3           400           10.98           20.92        0
    4           500           10.98           19.44        1
    5           600           10.76           19.13        0
    6           700           9.703           17.23        0
    7           800           9.703           17.65        1
    8           900           9.703           17.42        2
    9          1000           9.703           15.91        3
   10          1100           9.703           15.74        4

%% only sum+gauss cost matrix

                               Best          Mean         Stall
Generation      f-count     Penalty         Penalty    Generations
    1           200           12.22           33.54        0
    2           300           12.22           28.03        1
    3           400           12.17           23.73        0
    4           500           12.16           26.82        0
    5           600           12.16           29.38        1
    6           700           12.16           27.02        2
    7           800           11.43           26.86        0
    8           900           11.43           21.38        1
    9          1000           11.43           24.54        2
   10          1100           11.43           27.59        3
   11          1200           11.43           24.69        4

%% only contig+gauss cost matrix

                               Best          Mean         Stall
Generation      f-count     Penalty         Penalty    Generations
    1           200           12.15           39.82        0
    2           300           11.97           29.47        0
    3           400           11.97           24.97        1
    4           500           11.88           22.94        0
    5           600           11.53           22.92        0
    6           700           10.58           18.51        0
    7           800           10.58           17.64        1
    8           900           10.58           18.31        2
    9          1000           10.08           20.37        0
   10          1100           9.947           18.87        0
   11          1200           9.947           16.89        1
   12          1300            9.86           20.07        0
   13          1400            9.86           19.06        1
   14          1500            9.86           18.63        2
   15          1600            9.86           18.86        3
   16          1700           9.818           17.58        0
   17          1800            9.39           20.06        0
   18          1900           9.328           14.63        0
   19          2000           9.328           18.07        1
   20          2100           9.328           15.97        2

%% only evolution+gauss cost matrix

                               Best          Mean         Stall
Generation      f-count     Penalty         Penalty    Generations
    1           200           10.65              33        0
    2           300           10.23           25.59        0
    3           400           10.23           20.44        1
    4           500           10.14           19.18        0
    5           600           10.12           18.03        0
    6           700           9.752           17.41        0
    7           800           9.752           15.17        1
    8           900           9.752           15.15        2
    9          1000           9.355           14.32        0
   10          1100           9.355           14.34        1
   11          1200           9.251           13.24        0
   12          1300           9.251            13.3        1
   13          1400           8.899           13.74        0
   14          1500           8.804           14.59        0
   15          1600           8.804           13.29        1
   16          1700            8.71           13.53        0
   17          1800            8.71           13.02        1
   18          1900           8.639           11.89        0
   19          2000            8.43           13.25        0
   20          2100            8.43           11.97        1

%% only sym+gauss cost matrix
                               Best          Mean         Stall
Generation      f-count     Penalty         Penalty    Generations
    1           200           12.19           42.23        0
    2           300           11.72            34.9        0
    3           400           11.72           29.75        1
    4           500           11.72           24.79        2
    5           600           11.72           22.53        3
    6           700           11.56           19.59        0
    7           800           11.41           19.71        0
